question,answer
夢見心臟休止跳動,災禍降臨。
夢見有瘋狗出現 , 容易發生意想不到的事故。尤其要注意交通事故。
夢見牽著很大的狗散步 , 人際關系良好。與新老朋友都能愉快相處。
夢見兩只狗在互相嬉戲 , 愛情方面將有上升趨勢。但不可太得意忘形，這樣會顯得太輕浮，有可能會被對方討厭，所以要適可而止。
夢見狗在吃飯 , 一帆風順，萬事都很如意。如果你覺得零用錢太少，這是請求增加零用錢的時機。
夢見狗在小便 , 身體狀況變壞。必須小心維護你自己的健康。
夢見狗向自己叫 , 朋友關系將會惡化。最好避免與合不來的人獨處，這時必須以團體交際的方式渡過危機。
夢見狗在快跑 , 財運相當不錯。將有一筆意外的臨時收入，口袋里暫時會有很多錢。
夢到聽見狗吠,會受到敵人的侵略。
夢到狗朝自己走來,會交上好朋友，在困境中能得到朋友的幫助。
跛子夢到狗,預兆朋友軟弱無能。
夢到狗跟在母犬后行走,朋友心懷不測。
夢到母犬和小狗在一起,朋友會帶來好處。
夢到狗咬主人,"失財兇，將于朋友發生爭奪，可能會有被欺詐殺害危險,是破費大筆錢財的前兆。"
夢到被狗咬,會與朋友發生意見分歧，受到孤立。將會受到仇人的攻擊，或思重病。
夢到小狗,表示會和鄰居、同事、學校的朋友為了小事發生口角。
夢到自己養狗,災難時能證明家人是自己最好的幫手。
夢到打狗,預示因為自己的過失會對忠于自己的人產生懷疑。
夢見蚊子 , 敵人會日益強大，或者自己怕災難接連不斷。
久臥病榻的人夢見成群的蚊子 , 病情短期內不會好轉。
夢見消滅蚊子 , 會身體強壯。
夢見睡覺時掛蚊帳 , 不久要建新房。
夢見被蚊子咬 ," 要提防誹謗自己的小人,因為他們會給自己造成難以彌補的損失。"
夢見貓,自己的品德會受到非議，被人們怨恨，財產被偷。
夢見被貓咬 -- 是吉兆,工作上一切障礙都能清除
夢見打貓或者抓貓,小偷會光臨，但是不會受損失，壞人會被抓獲。
夢見無緣無故打貓,將會與鄰居為敵。
病人夢見養貓,會擺脫病魔。
夢見貓捉老鼠或鳥類,是祥兆，敵人會互相殘殺，兩者俱亡。
夢見貓爬到膝蓋上來 , 與戀人關系非常好。你將受寵若驚，為約會忙得不亦樂乎。但小心，你的身體將會受不了的。
夢見被遺棄的貓在路旁叫 , 財運下降。有時會不經意走進賣紅豆湯的小店；或買一些絕對不會去看的書。所以，你的錢包很快就會空空如也。
夢見貓在做日光浴 , 今后一個月，你的整個運勢是平安無事，不會有什么問題。你將覺得無聊，怎么辦?干脆到街上尋找刺激吧!
夢見大貓帶著小貓一起走 , 表示朋友運很好。如果你參加會員活動，與大家均能英雄所見略同，日子將過得很快樂。
夢見小貓互相嬉戲 , 愛情進展不穩定。雖然雙方親密度增加，但很難進展到愛情的互相確認。這將是一段空著急的日子。
夢見自己養的小貓丟了,朋友會斷絕與自己的來往。
夢見骯臟的貓,代表招惹不幸。
夢見干凈的貓,代表招來幸運。
夢見貓捕鼠者主得財。,主得財。
夢見貓與蛇爭斗,所有的災難都會過去。
夢見老鼠 , 會樹敵過多。
已婚女人夢見手里托著家養的老鼠 , 要生孩子。
夢見抓老鼠 , 會交上不誠實的朋友。
夢見捕老鼠 , 會遭到敵人的陰謀暗算。
夢見貓捉老鼠 , 是祥兆，敵人會互相殘殺，兩者俱亡。
夢見死老鼠 , 要交好運。
夢見老鼠在自己的住室里打洞 , 家里會遭偷竊。
男人夢見老鼠咬自己 , 災禍會避免。
醫生夢見老鼠 , 住地會出現傳染病。
烏龜是長壽的象征,同時也是財富的代表。夢中的龜，不管是烏龜還是海龜，都是吉利的象征。
夢見烏龜爬進家門這是一個超棒的幸運夢,也是經濟、生活好轉的預兆，表示你將會有一大筆的財產收入，或者是職位將會得到晉升，權利與財富兩得；
男子夢見烏龜,說明做夢人的事業穩步向前發展，而且能夠諸事如意；
女子夢見烏龜,預示著地位將會提升，會得到別人的尊敬，事業上有所發展；
夢見烏龜把頭縮排甲殼里,象征著做夢人自我保護意識增強；
夢見海龜在水里游,暗示著做夢人將有一個新的工作崗位或環境；
老人夢見烏龜,預示著福祿東海，長命百歲；
懷孕的人夢見烏龜,暗示生下的小孩活潑健康；
少女夢見烏龜,預示著會嫁給一位老人；
做生意的人夢見烏龜,說明生意興隆，生意進展很順利。
夢見撈烏龜,好運會自動找上門；
工作人員夢到撈烏龜,會升職會加薪；
夢見烏龜被打被欺負,這是代表你目前在工作上有被欺壓的狀況，也許是前輩或是同事不想與你往來，或者被排擠。此外也有代表公司可能會因為機器或生財工具故障，而引起財務上的問題。
男人夢見老虎,成功的道路上會遇到困難。
女人夢見老虎,自己和孩子都會生病。
夢見老虎朝自己撲來,會困難重重。
夢見開槍打老虎,事業會成功。
夢見捕捉老虎,是不祥之兆，朋友會以自己為敵。
夢見老虎撲向別的動物,會為朋友的處境擔憂。
夢見老虎撲向別人,會發生重大車禍，但是能死里逃生。
夢見老虎被關在籠子里,暗示敵手非常強大，但在最后還是被你擊敗。
夢見老虎與獅子相斗,可能暗示會發生父子相爭的情況。
夢見老虎迎面大吼,如果做夢人是男人，可能預示成功的道路上會遇到困難;如果做夢人是女人，要注意自己和家人身體健康，因為這預示自己或孩子可能會病倒。
夢里遇見老虎時明顯嚇了一跳,可能預示你最近一個時期，會有很好的購買運，不妨去逛街，可能會有許多意外的收獲和折扣。
夢見騎在老虎背上,預示你有財運，會有意外的收獲。
夢見老虎闖進自己房子,或是出現在自己家里，預示你會得到重大提升。
夢見兔子 , 能找到熟人。
夢見兔子被捕獲 , 是吉兆。
夢見自己落荒而走 , 會交好運。
夢見有人和兔子一塊來到自己身邊 , 要小心上當受騙。
夢見在獵犬的協助下，追趕兔子 , 能從騙子的魔掌中逃跑出來。
夢見向兔子開槍 , 會失去一切經濟來源。
女人夢見在馬路上抓到一只兔子，并把兔子抱在懷里 , 會成為丈夫家的搖錢樹。
夢見螞蟻在游行 , 作夢人將要去國外旅行，并居在異國他鄉。他的旅行不僅順利，而且還會平安舒適。
商人夢見螞蟻游行 , 生意將會興隆。
夢見螞蟻急燥不安，四處奔跑 , 會禍從天降。
夢見螞蟻嘴里叼著白色的東西，或叼著吃的東西 , 則是祥瑞。作夢人將會發財、幸福。
夢見鳥追打螞蟻 , 將有禍事。
久臥床的病人夢見螞蟻 , 病情短期內不會好轉。
夢見到處都是螞蟻或螞蟻打架，受攻擊的一方占了上風，攻擊的一方擊敗 , 這是吉兆，作夢的人將會還清欠款，或身體很快痊愈。未婚者會很快成親，高興的事會接連不斷。
夢見受攻擊的一方被打死或成了俘虜 , 做夢人會遭厄運，或患不治之癥，或瞬間破產。
夢見自己被螞蟻團團包圍 , 死期即將臨頭。
夢見螞蟻在自己的頭頂或家里亂跑，作夢者是農民 , 是好兆頭，意味著風調雨順，久旱的莊稼得救。
夢見自己喝的水，牛奶或其它飲料中有螞蟻 , 作夢人會受到內臟疾病的折磨。
夢見餐桌上有螞蟻 , 居住在異國的親人或親戚即將登門。
夢見自己的床鋪上有螞蟻 , 會患重病。
夢見牛馬成群結隊 —— 幸運會從天而降。諸如,路上撿到彩票中了大獎、買東西時多找了錢等等，這類令人意想不到的幸運可能會連連發生。
夢見擠牛奶 , 將有盜難。要留意扒手和搶劫。假如你有腳踏車，不要讓別人騎走，更要提醒家人防范闖空門。
夢見豬把身體靠上來 , 將會為意外的支出而煩惱。被迫還舊饋；或被；皇請沒有錢的后生小輩吃飯等等，將防不勝防。
夢見與良多人賽馬 , 朋友關系將惡化。你倔強的個性將引起不良后果，朋友將接二連三離你而去。除非你能改過，否則你將變得很孤獨。
夢見給豬喂飼料 , 在行為方面運勢將衰微。稍微不小心就會引起很大敗筆。譬如，好不輕易和情人說好要約會，但心中卻因忘了帶錢包而轉動不得等等，要小心喔!
夢見騎著馬奔跑 , 煩惱事將獲解決。與吵過架的朋友將言歸于好，還可以期待更深一步的交往。
夢見放牧在牧場 , 在運動方面將有好訊息。假如你是運動會的選手之一，也許在一項比賽中將有榮獲優越杯的機會。
夢見騎在豬背上 , 暗示愛情將很順利。固然已經心有所屬，可又出現了愛自己愛得發狂的異性，難免為他的癡情所動。但還是應該斷然拒絕才是上策，三角戀愛可不是好玩的。
夢見小豬吃母奶 , 健康方面將有一番波折。高興奮興與朋友去參加迪斯科舞會，卻因逞強把腰報傷……這種情形可能會發生。所以，凡事都要適可而止。
已婚男子夢見烏鴉 , 災禍會臨頭。
已婚女人夢見烏鴉 , 孩子會患病。
未婚男子夢見烏鴉 ," 對未婚妻的不幸去世，纏綿悱惻,黯然銷魂。"
未婚女子夢見烏鴉 , 意味著要嫁給身體有病的人。
商人夢見烏鴉 , 因連續虧損，最后會導致生意全部破產。
夢見烏鴉在飛 , 會面臨各方面的對手。
夢見捕捉烏鴉 , 意味著能戰勝仇敵。
夢見打死烏鴉 , 會捷報頻傳。
夢見烏鴉落在樹上 , 會挨饑受餓。
旅游者夢見烏鴉截斷路 , 途中會發生車禍。
夢見死烏鴉 , 倒霉的日子會過去，好日子即將到來。
夢見烏鴉落在誰的頭頂 , 誰會臥床不起。
夢見烏鴉啄吃糞便 , 會吸取貧窮的教訓，摒棄惡習。
女人夢見蛇 , 自己和孩子都會病倒。
夢見花蛇、綠蛇,生女之兆。
夢見麻蛇、黑蛇,生男之兆。
夢見自己被蛇咬,意味著不怕兇險，將交上好運，生活富裕。
夢見孩子被蛇咬,則意味著家庭不 和，帶來憂愁和不幸。
假如夢見被大蛇吞噬,表示你渴望得到保護。
夢見一對蛇,很快會分家。商人夢見一對蛇，能發大財。
夢見蛇咬你自己,要交好運，生活會豐裕。
然而夢見蛇咬自己妻子,是不祥之兆，會碰到憂愁不幸。
夢見敵人被蛇咬傷,"敵人會互相殘殺, 最后兩敗俱傷。"
夢見打死蛇,能征服敵人。
夢見蛇鉆進洞里,家里會被偷竊或被劫。
夢見蛇捕捉老鼠或田雞,會有不幸的訊息。
夢見蛇與貓爭斗,所有的災難都會過去。
夢見被蛇咬,然后把蛇殺掉及后蛇起死回生，未婚的會找到理想物件；已婚的男性會有婚外情 或會有兒子。
夢見紅色或綠色的蛇,代表身體健康不大好。
夢見黑色和啡色的蛇,代表你 身心疲累。
夢見蜘蛛,表示你精力充沛，工作認真謹慎，因此你的所得也將令人滿意地增長。
男人夢見蜘蛛,意味著自己的財產已受到壞人的監視，所以要時刻小心提防。
女人夢見蜘蛛,會患子宮病。
夢見蜘蛛織網,只有艱苦奮斗，才能取得成果。
已婚女人夢見蜘蛛織網,生意會十分興旺，能遍布世界各地，由于商業網點過多，對如何經營好會感到憂愁。
病人夢見蜘蛛網,會闖過危險期，最后身體會好轉。
夢見死蜘蛛,一切憂愁都會過去。
夢見蜘蛛捉蒼蠅,不久的將來會在可怕的事故中喪生。
夢見打死了在身上爬的蜘蛛,身體會強壯。
夢見踩死蜘蛛,是不祥之兆，災難會降臨在全家人的頭上。
夢見蜘蛛從屋頂或高處掉到自己的身上,要遭厄運。
未婚男女夢見蜘蛛結網,還可能預示你會和身邊的一位異性，由普通朋友關系進展成為戀人，愛情將迅速發展。
夢見蜘蛛將獵物困在網里,獵物在網里痛苦掙扎，這樣的夢，還可能暗示你想從一段感情糾葛中掙脫出來，或某種親密的關系令你感覺極度危險，內心不安。
商人夢見蜘蛛結網,通常預示生意興隆，業務遍布世界各地，但由于商業網點太多，或業務太分散，對如何經營感到焦慮。
夢見自己被一只蜘蛛咬傷,因為別人不誠信的行為讓你成為受害者，生意上的敵人將給你帶來痛苦。
夢見自己的周圍懸掛著許多蜘蛛網,蜘蛛呆在網上，象征著富有、身體健康以及美好的友誼等最美好的因素。
夢見自己面對一只巨大的蜘蛛,預示你的財富將迅速增加。
夢見水怪在游泳 , 愛情將停滯不前。你雖然非常愛他，他卻不理不睬。你將體會到相思苦，難免會有輾轉難眠的夜晚!
夢見龍飛往地面 , 臨時收入將增加。譬如，替隔壁人家看一下小孩子，得到一筆酬勞等等，這種事會經常發生。
夢見龍在天上飛行 , 成績方面運氣上升。對以往討厭的數學和物理等，越來越感興趣。當然，考試的平均分數也將大幅度提高。
夢見怪獸互相殘殺 , 愛情運好轉。將可期待相親相愛，這世界只屬于我個人……的關系。約會的主要機緣最好要由女性來掌握，如此萬事就能順利。
夢見太空侵略者出現 , 在創造力方面有好的預兆。這時候可以寫出一首好詩，不妨給情人寫寫情書吧!
夢見遭受怪魯襲擊 , 健康方面運勢將下降。尤須注意食物中毒、痢疾等消化系統的疾病。在回家的路上吃冰淇淋的習慣，要好好改一改。
夢見蝴蝶在花園里飛舞 , 將有快樂的事情發生。晚上讀書累了，出去走走，不經意碰上心中理想的異性等。這類事情將會發生。
夢見遭蜂刺螫 , 金錢運急速下降。雖然好想與情人約會，但囊空如洗，行動將受到限制。
夢見晴蜒在飛行 , 將有非常敏銳的直覺。
夢見捉蝗蟲 , 購買運將轉好，也許通過朋友父親的關系，可以買到很便宜的商品，多買一點，絕對值得。
夢見蜘蛛正在結網 , 普通的好朋友將變成情人。對方也是一樣，這種愛情將會順利發展。
夢見螢火蟲在飛行 , 人際關系將有問題。這時心浮氣躁，動不動就生氣，容易與人發生沖突，注意忍讓。
夢見毛蟲在樹葉上蠕動 , 將發生行為方面的失誤。應避免標新立異的冒險和輕率的行為。
夢見埃蛤在爬行 , 在愛情方面將蒙上爭執、吵架的陰影。由于感情的出軌，與情人將有一場糾紛。
夢見跳蚤在跳動 , 乘車運相當好。不論出門時間早晚，都能超上火車或公共汽車，在車上會遇見熟人或喜愛的人，有可能撿到皮包等等。總之，將會有好事。
夢見蚊子嗡嗡飛行 , 考試運有惡化的可能。
夢見白鶴在空中飛翔 , 財運可能好轉。也許你母親的定期存款期滿，會問你想要買什么，選一個貴一點的東西吧。
夢見與停在手上的小鳥嬉戲 , 暗示你將會熱烈地戀愛。你必將陷入如癡如狂的愛情中，嘗到它的酸甜苦辣。
夢見雞在啄食飼料 , 在行為方面將有被誤解的可能。
夢見老鷹在天空飛翔 , 學業將有進步。不經意買回來的參考書，剛好適合你的學習能力。以此為契機，你的成績開始步步高升。
夢見烏鴉畫著圓圈飛翔 , 表示人際關系將不順。你的自命不凡，將受到朋友的厭惡。只有盡量謙虛，運勢才會好轉。
夢見貓頭鷹停在樹上 , 健康方面有陰影。看書時因為光線不夠引起了近視，要特別小心。如果你戴著度數不合適的眼鏡，勸你馬上去換—付。
夢見烏龜慢慢走動 , 陰影籠罩的運勢。愛情方面尤其不如意，與情人反目而導致絕交的危險性非常大。
夢見魚在游水 , 將有意外的收入。
夢見使用魚網捕魚 , 將會遇到幸運事，將會過一段興奮、快樂、略帶一點不安的時光。
夢見在河邊釣魚 , 在交際方面將有一場波折。
夢見掏起金魚 , 奇遇之星將接近你。最大的可能是在街上碰到舊友，于是回憶的話匣子開啟，忘記了時間的流逝。
夢見鯨魚噴水 , 表示將有新的愛情產生。你和她的媒人是一本書，也許兩人初識的地方，不是圖書館就是書店。
夢見墨魚在游泳 , 行為方面將有一大敗筆。
夢見魚在池塘里游動 , 朋友運惡化。一群好朋友中有兩人因吵架而對立，結果一群朋友分裂成為兩派。要想言歸于好，沒有那么容易。
夢見鴨子搖擺行走 , 人際關系運將轉好。原來始終有隔閡的同學，忽然轉變，開始和你親密交往。
夢見兔子在原野奔跑 , 談情說愛的機會到了。發生的地點可能是冷飲店、書店等場所。
夢見老鼠被貓捉住 , 抽獎運非常好。可以參加電視抽獎節目，可獲得大獎，向報紙“生活小故事”之類的讀者園地投稿，很可能刊登。
夢見老鼠跑來跑去 , 浪費之星將從你頭上經過。務必改掉浪費的習慣，花錢要嚴守預算。
夢見把松鼠放在手上 , 出行方面將有不利。如坐車時可能因睡覺而坐過了頭，或把約會的時間記錯等等。
夢見猴子由一樹跳上另一樹 , 可能有盜難。不要把全部零用錢放在一起。
夢見騎在象背上 , 愛情方面上升的趨勢。除了你的心上人之外，將會出現另一個俊逸非凡的異性。魚與熊掌，總得選一樣，于是你將被困在煩惱之中。
夢見獅子在吼叫 , 愛情方面的煩惱將獲得解決。心中的疙瘩將全部消除，兩人可以進一步發展愛情，過一段幸福的日子。
夢見遇見老虎而嚇一跳 , 將有相當好的購買運。在留達時偶然發現廉價拋售的店鋪，或在打佯之前買到打了很低折扣的東西等等。運氣真不錯。
夢見獅子在草原上行走 , 在人際關系上烏云密布。自我主張過強，容易與別人抬扛。最好要盡量抑制自己，與人協調。
夢見大群的象在行走 , 財運不好。將為零用錢的不足而煩惱。這時，你就得乖乖待在家里。
夢見喂小鹿吃東西 , 在愛情方面有好運氣。在冥冥之中，已經發出了行刺的訊號。所以不要再遲疑，向意中人積極果敢地發動攻勢吧!
夢見斑馬在奔跑 , 表示萬事將順利進行。與平常動輒就吵架的兄弟，也能和睦相處。好好對待他們吧!
夢見熊貓 , 在異性方面有好運氣。不知道是誰，已經偷偷愛上你。不久一定會來報到的。
夢見熊在山上行走 , 精神不振。做事總是畏首畏尾的。拿出精神來，大膽地前行吧！
夢見騎在虎背上 , 財運急速上升。在這種情況下，可以參加“強棒出擊’，節目，也許可以帶很多東西回去。
夢見受狼襲擊 , 不幸的事情將發生在周圍的人身上。爬樓梯時失足跌落、被流氓勒索金錢等等將屢屢發生在朋友身上，別忘了要提醒他們小心哪!
夢見長頸鹿 , 學業方面將令人擔心。一番努力落空，考試的成績將不太理想，但不要泄氣喔。
夢見斑馬 , 財源旺盛
女人夢見斑馬 , 會得到娘家送的禮物。
夢見騎斑馬 , 要出國旅行。
商人夢見騎斑馬 , 生意能發展到國外。
夢見被斑馬踢了 , 倒霉的日子要來到。
夢見鸚鵡站在地上 , 會交上無用的伙伴。
已婚的女人夢見鸚鵡站在地上 , 丈夫原是一個無能之輩。
孕婦夢見鸚鵡 , 會生女孩。
夢見鸚鵡在飛 , 夢見鸚鵡在飛
夢見鸚鵡落在樹上 , 要生病。
夢見關在籠子里的鸚鵡 , 會困難重重。
夢見死鸚鵡 , 要提防不誠實的朋友，以免上當受騙。
夢見用槍打鸚鵡 , 能降順對手。
夢見買鸚鵡 , 是不好的兆頭，要償還祖輩借的債。
夢見出賣鸚鵡 , 夢見出賣鸚鵡。
夢見成群的鸚鵡 , 財產會遇到嚴重的危險。
夢見贈送鸚鵡 , 會被人討厭。
夢見把鸚鵡關進了籠子 , 仇人會發生內訌，自己卻能從中獲得好處。
夢見貓逮鸚鵡 , 會擊敗競爭的對手。
夢見狼,預示夢者最近諸事不順，會過一段倒霉的日子。
夢見狼撲過來,預示夢者近期可能會受到流言蜚語的攻擊，以致于聲譽受損。不過只要心平氣和的去應對，不會有太大的損失。
夢見被狼咬,預示夢者近期的健康不太理想，也有可能會碰到強大的競爭對手。
夢見被狼襲擊,表示不幸的事情將發生在周圍的人身上。例如失足跌落、被流氓勒索金錢等等，要特別提醒他們注意。
夢見豺狼惡狗,預示夢者家中可能會遭小偷，一定要加以防范。一旦受到波及，千萬別為了金錢與強盜博命，性命才是最重要的。
夢見狼撲向自己,表示要當心小偷和強盜。
夢見狼群,表示會受到敵人的折磨。
夢見被狼群團團圍住,表示一切憂愁都會過去。
夢見豺狼一步一步地向自己逼進,表示要花很多錢為親人治病。
夢見豺狼追趕朋友,表示朋友會是個懦夫，靠不住。
夢見狼在墓地或火葬場游逛,家人要去世。
女人夢見狼,表示意味著會生病。
病人夢見被狼咬,預示著病情會加重。
商人夢見被狼咬,預示著會碰到強勁的敵人。
男人夢見狼撲向自己,妻子會懷孕。
已婚女子夢見豺狼闖進了自己的家,需要注意孩子的健康。
姑娘夢見豺狼朝自己走來,表示會嫁給一個弱不經風的男人。
夢見鴿子 , 一般是祥瑞。
男人夢見臥著的鴿子 , 生活富裕，安逸舒適。
已婚女子夢見鴿子 , 不久會懷孕，能生一個漂亮的男孩。
夢見野鴿子 , 能發財。
夢見養鴿子 , 收入豐厚，家里的人口也會增加。
夢見飛翔的鴿子 , 會陷入困境。
夢見籠子里的鴿子 , 能得到藏匿的財寶。
夢見用槍打鴿子 , 憂愁會逝去。
夢見貓咬鴿子 , 災難會臨頭。
夢見死鴿子 , 要破財。
夢見有很多鴿子 , 會有生死朋友。
夢見送鴿子給別人 , 會名揚天下。
夢見鴿子 , 婚姻美滿，會得到無數錢財。
賭徒夢見鴿子 , 能贏很多錢。
夢見鴿子被打死 , 是兇兆，妻子(或丈夫)要離開人世。
夢見鴿子從自己手里飛走了 , 妻子會離他而去。
夢見貓頭鷹 , 是不祥之兆，孩子會遺失。
未婚男子夢見貓頭鷹 , 會娶一個好斗的妻子。
已婚女人夢見貓頭鷹 , 會對丈夫的病憂心忡忡。
未婚女子夢見貓頭鷹 , 是不好的兆頭，意味著要嫁到低等家族。
夢見貓頭鷹落在自己的屋頂上叫聲不斷 , 會家破人亡。
夢見貓頭鷹從自己的頭頂飛過 , 不久就要命歸西天。
夢見打貓頭鷹 , 是吉兆，工作上一切障礙都能清除。
夢見向仇人贈送貓頭鷹肉 , 仇人會被消滅。
夢見貓頭鷹的叫聲十分刺耳 , 家人要患重病。
囚犯夢見貓頭鷹朝自己飛來 , 會被判為無期徒刑。
夢見捕捉貓頭鷹 , 一定能打贏官司。
夢見獅子 , 要來錢。
夢見與獅子相遇 , 要生病，或與強人為敵。
夢見獵獅子 , 夢見獵獅子
夢見為馬戲團馴獅子 , 仇人會同自己講和。
夢見自己被獅子咬傷 , 困難會被克服。
夢見獅子撲向自己的同伴或朋友 , 倒霉的日子要來臨。
少女夢見獅子 , 會嫁給一位權大力大，身體健康的男子。
已婚女子夢見獅子 , 會生一個健康的男孩。
夢見獅子襲擊野象 , 仇人會狗咬狗，最后兩敗俱傷。
夢見松鼠 , 艱苦奮斗會有所獲。
女人夢見松鼠 , 會與丈夫分離。
被驅逐的人夢見松鼠 , 自己的目標一定能達到，最后能返回自己的祖國。
旅游者夢見松鼠 , 旅行會舒適，事業會成功。
夢見打死松鼠 , 是不祥之兆，災難會臨頭。
夢見捕捉松鼠，或者把松鼠拿在手里 , 是吉兆，會找到藏匿的財寶。
夢見松鼠咬了自己 , 在主要題目上會與朋友產生分歧。
農民夢見松鼠 , 會豐收在望。
夢見海龜 , 夫妻生活會和諧、幸福。
已婚女人夢海龜 , 丈夫會更加寵愛自己。
未婚男子夢見海龜 , 不久要成親。
未婚女子夢見海龜 , 會和意中人結為伉儷。
夢見捕捉海龜 , 災難會臨頭。
夢見喝海龜湯 , 是不祥之兆，健康會每況愈下。
夢見青蛙在水塘里,表明你有寬容的朋友，能幫你戰勝困難。
夢見青蛙在草地上,預示你會獲得一位豁達開朗的良師益友，在許多方面幫助你。
夢見有很多只青蛙,表示你生活簡樸。
如果病中夢見許多青蛙,預示你的身體將很快復原。
商人夢見有許多只青蛙,預示你會有大生意，利潤豐厚。
夢見夏夜一片蛙聲,表示你和很多朋友相處愉快，關系融洽。
女人夢見青蛙,預示可能要增大花銷。
夢見拿石頭打青蛙,預示你可能會有工作上的調動。
夢見青蛙被捕殺,預示做夢人可能會遭遇很大挫折。
夢見自己在捉青蛙,表示由于對自己健康狀況的疏忽，可能使你的家人十分擔憂。
夢見人變成青蛙,或青蛙變成人，表示你可能對自己或某人的身份有所懷疑。
夢見濕潤的低地里的青蛙,預示麻煩事情，但最終在別人的善良幫助下，你能戰勝這些困難。
夢見吃青蛙肉,表示轉瞬即逝的快樂，也預示你和別人的合作幾乎沒有什么賺頭。
男人夢見青蛙,要生病。
夢見有很多只青蛙,生活簡樸清苦。
病人夢見有許多只青蛙,身體很快會復原。
夢見被青蛙咬傷,一切困難都會過去。
夢見猴子蹲著 , 是兇兆。
夢見猴子蹲著 , 要生病。
夢見猴子走動或跳躍 , 是不祥之兆。
孕婦夢見猴子 , 會生一個丑陋的男孩。
少女夢見猴子 , 要嫁給一個易怒嘴碎的男人。
夢見向猴子開槍，或打死了猴子 , 預示能降服敵人。
夢見猴子張牙舞爪要朝自己撲來 , 會家破人亡。
夢見猴子 , 自己會受騙
夢見猴子發怒 ," 將會與鄰居為敵,并且名聲受損。"
夢見猴子興高采烈 , 中斷的友誼會再次恢復。
夢見猴子吃東西 , 會面臨貧困。
夢見熟睡的猴子 , 將要去外國旅行。
已婚男人夢見蝸牛 , 健康會每況愈下。
已婚女人夢見蝸牛 , 丈夫收入會增加。
少女夢見蝸牛 , 會嫁給有錢的男人，生活幸福。
青年男子夢見蝸牛 , 會得到一大筆嫁妝。
病人夢見蝸牛 , 會長期臥床不起。
工作人員夢見蝸牛 , 會提職增薪。
夢見打死蝸牛 , 能降服敵人。
男人夢見麻雀 , 會憂愁不安。
女人夢見麻雀 , 孩子要生病。
夢見有很多只麻雀 , 預示大吉大利，事業能取得成功。
夢見有很多只麻雀 , 不久會受到敵人的攻擊。
夢見麻雀吃蟲子 ," 財產會有危險,或者全部失去自己的財產。"
夢見捕鳥者捕捉麻雀 , 不久會有不幸的訊息。
夢見打死麻雀 , 生意或工作會徹底失敗。
夢見鯊魚 , 要發財。
商人夢見鯊魚 ," 漂洋過海出國做生意,能賺大錢。"
船員夢見(船夫)鯊魚 , 預兆所從事的工作收入豐厚。
夢見鯊魚撲向別人 ," 是不祥之兆,災難會臨頭。"
夢見成群的鯊魚 , 意味著要調動工作，財源會旺盛。
夢見死了的鯊魚 , 由于自己的錯誤，經濟會遭受損失。
夢見豺狼 , 會遇到倒霉的日子。
夢見豹在墓地或火葬場游逛 , 家人要去世。
夢見豺狼追趕朋友 , 朋友會是個懦夫，靠不住。
夢見豺狼 , 會重病纏身。
夢見豺狼一步一步地向自己逼進 , 要花很多錢為親人治病。
已婚女子夢見豺狼闖進了自己的家 , 會生一個陰陽孩子或身體衰弱的后代。
姑娘夢見豺狼朝自己走來 , 會嫁給一個弱不經風的男人。
夢見大象,預示著將會成功，名聲大震。
夢見騎大象,則意味著社會地位升高。
夢見發怒的大象朝自己沖來,意味著需要堅持不懈，才能保住自己的社會地位，才能發財。
夢見大象只有一根牙,意味著應該把所有精力集中到一個點上，才能取得突破，贏得更高的地位。
夢見大象踩死獅子,"意味著擊敗強大的對手，在關鍵時刻反敗為勝，是祥瑞，能擊敗自己的強大對手,打贏有可能使自己瀕臨破產的官司。"
夢見大象踩死了人,則意味著自己的財富被人妒忌，可能會遭到飛來橫禍，應該凡事謹慎。
夢見大象糟踏樹木,很快會度過難關，取得勝利。
夢見野象群,一切努力都能獲得成功，而且不依靠任何人匡助。
夢見大象朝一個人沖來,頓時踩死了那個人，意味著由于家財萬貫，自己會被妒忌的人打死。
夢見獅子襲擊野象,仇人會狗咬狗，最后兩敗俱傷。
夢見從大象背上跌下來,意味著受窮或受辱。
夢見一群大象,代表你近期可能會有一些不順心的事情，要注意排解，不要總是悶在心里。
孕婦夢見一群大象,預示你近期可能會出門旅行，但是要小心自己的安全，特別不要去特別高的地方。
商人夢見一群大象,代表你會有好的機會可以參與一個大項目的投資，把握機會，也許可以讓你大賺一筆。
男人夢見一群大象,事業有成，近期需要注意人際關系，應酬較多，小心不要酗酒。
女人夢見一群大象,就代表最近的一些讓你心煩的事情在最近都會有一個成果，特別是你最近也會有不錯的收獲，這也是讓你感到興奮的事情。
本命年的人夢見一群大象,這代表你最近一直在愁苦的事情，都會有一個下落，特別是你一直費心去經營的事業，最近會有不斷往上發展的態勢。
已婚婦女夢見小象玩耍,要生一個漂亮的男孩。
女人夢見小象,預兆有機會旅行，有小困難，心靜則安。
做生意的人夢見小象,主近期財運要適當節制才好。
求學者夢見小象,預示考試碰到難題，成績不佳。
夢見發怒的黃牛,意味著濕婆神發怒。然而夢見黃牛是家畜，則是吉兆。
夢見黃牛追趕自己,會大難臨頭。
夢見與四條腿的牲口說話,死期巳逼近。
夢見強壯的黃牛從自己身邊經過,身體會康復。
夢見瘦骨嶙峋的黃牛臥在自己眼前,會患重病，臥床不起。
夢到被牛撞,表示感情有阻礙。
夢到騎牛,表示成功，很好運。
